dyad,background,months,task,gesture,count_raw,count,ct_raw,ct,pro_rata
b06,Bengali,11,tp2,ho_gv,0,0,0,0,no
b06,Bengali,12,five,reach,0,0,0,0,no
b06,Bengali,12,five,point,0,0,0,0,no
b06,Bengali,12,five,ho_gv,0,0,0,0,no
b06,Bengali,12,tp1,reach,0,0,0,0,no
b06,Bengali,12,tp1,point,0,0,0,0,no
b06,Bengali,12,tp1,ho_gv,10,10,0,0,no
b06,Bengali,12,tp2,reach,0,0,0,0,no
b06,Bengali,12,tp2,point,0,0,0,0,no
b06,Bengali,12,tp2,ho_gv,0,0,0,0,no
b07,Bengali,10,five,reach,2,2,1,1,no
b07,Bengali,10,five,point,0,0,0,0,no
b07,Bengali,10,five,ho_gv,0,0,0,0,no
b07,Bengali,10,tp1,reach,0,0,0,0,no
b07,Bengali,10,tp1,point,0,0,0,0,no
b07,Bengali,10,tp1,ho_gv,0,0,0,0,no
b07,Bengali,10,tp2,reach,0,0,0,0,no
b07,Bengali,10,tp2,point,0,0,0,0,no
b07,Bengali,10,tp2,ho_gv,0,0,0,0,no
b07,Bengali,11,five,reach,3,3,1,1,no
b07,Bengali,11,five,point,2,2,0,0,no
b07,Bengali,11,five,ho_gv,0,0,0,0,no
b07,Bengali,11,tp1,reach,0,0,0,0,no
b07,Bengali,11,tp1,point,0,0,0,0,no
b07,Bengali,11,tp1,ho_gv,1,1,0,0,no
b07,Bengali,11,tp2,reach,0,0,0,0,no
b07,Bengali,11,tp2,point,0,0,0,0,no
b07,Bengali,11,tp2,ho_gv,0,0,0,0,no
b07,Bengali,12,five,reach,2,2,0,0,no
b07,Bengali,12,five,point,5,5,3,3,no
b07,Bengali,12,five,ho_gv,0,0,0,0,no
b07,Bengali,12,tp1,reach,0,0,0,0,no
b07,Bengali,12,tp1,point,0,0,0,0,no
b07,Bengali,12,tp1,ho_gv,0,0,0,0,no
b07,Bengali,12,tp2,reach,0,0,0,0,no
b07,Bengali,12,tp2,point,0,0,0,0,no
b07,Bengali,12,tp2,ho_gv,1,1,0,0,no
b08,Bengali,10,five,reach,3,4,0,0,yes
b08,Bengali,10,five,point,0,0,0,0,yes
b08,Bengali,10,five,ho_gv,0,0,0,0,yes
b08,Bengali,10,tp1,reach,0,0,0,0,no
b08,Bengali,10,tp1,point,0,0,0,0,no
b08,Bengali,10,tp1,ho_gv,0,0,0,0,no
b08,Bengali,10,tp2,reach,0,0,0,0,no
b08,Bengali,10,tp2,point,0,0,0,0,no
b08,Bengali,10,tp2,ho_gv,3,3,0,0,no
b08,Bengali,11,five,reach,6,6,1,1,no
b08,Bengali,11,five,point,0,0,0,0,no
b08,Bengali,11,five,ho_gv,0,0,0,0,no
b08,Bengali,11,tp1,reach,0,0,0,0,no
b08,Bengali,11,tp1,point,0,0,0,0,no
b08,Bengali,11,tp1,ho_gv,8,8,5,5,no
b08,Bengali,11,tp2,reach,0,0,0,0,no
b08,Bengali,11,tp2,point,0,0,0,0,no
b08,Bengali,11,tp2,ho_gv,5,5,2,2,no
b08,Bengali,12,five,reach,10,10,1,1,no
b08,Bengali,12,five,point,0,0,0,0,no
b08,Bengali,12,five,ho_gv,0,0,0,0,no
b08,Bengali,12,tp1,reach,0,0,0,0,no
b08,Bengali,12,tp1,point,0,0,0,0,no
b08,Bengali,12,tp1,ho_gv,1,1,0,0,no
b08,Bengali,12,tp2,reach,0,0,0,0,no
b08,Bengali,12,tp2,point,0,0,0,0,no
b08,Bengali,12,tp2,ho_gv,0,0,0,0,no
b09,Bengali,10,five,reach,5,5,0,0,no
b09,Bengali,10,five,point,0,0,0,0,no
b09,Bengali,10,five,ho_gv,0,0,0,0,no
b09,Bengali,10,tp1,reach,0,0,0,0,no
b09,Bengali,10,tp1,point,0,0,0,0,no
b09,Bengali,10,tp1,ho_gv,3,3,2,2,no
b09,Bengali,10,tp2,reach,0,0,0,0,no
b09,Bengali,10,tp2,point,0,0,0,0,no
b09,Bengali,10,tp2,ho_gv,0,0,0,0,no
b09,Bengali,11,five,reach,2,2,0,0,no
b09,Bengali,11,five,point,2,2,0,0,no
b09,Bengali,11,five,ho_gv,0,0,0,0,no
b09,Bengali,11,tp1,reach,0,0,0,0,no
b09,Bengali,11,tp1,point,0,0,0,0,no
b09,Bengali,11,tp1,ho_gv,2,2,0,0,no
b09,Bengali,11,tp2,reach,0,0,0,0,no
b09,Bengali,11,tp2,point,0,0,0,0,no
b09,Bengali,11,tp2,ho_gv,0,0,0,0,no
b09,Bengali,12,five,reach,3,3,0,0,no
b09,Bengali,12,five,point,4,4,0,0,no
b09,Bengali,12,five,ho_gv,0,0,0,0,no
b09,Bengali,12,tp1,reach,0,0,0,0,no
b09,Bengali,12,tp1,point,0,0,0,0,no
b09,Bengali,12,tp1,ho_gv,3,3,0,0,no
b09,Bengali,12,tp2,reach,0,0,0,0,no
b09,Bengali,12,tp2,point,0,0,0,0,no
b09,Bengali,12,tp2,ho_gv,2,2,0,0,no
b10,Bengali,10,five,reach,2,2,0,0,no
b10,Bengali,10,five,point,0,0,0,0,no
b10,Bengali,10,five,ho_gv,0,0,0,0,no
b10,Bengali,10,tp1,reach,0,0,0,0,no
b10,Bengali,10,tp1,point,0,0,0,0,no
b10,Bengali,10,tp1,ho_gv,0,0,0,0,no
b10,Bengali,10,tp2,reach,0,0,0,0,no
b10,Bengali,10,tp2,point,0,0,0,0,no
b10,Bengali,10,tp2,ho_gv,0,0,0,0,no
b10,Bengali,11,five,reach,0,0,0,0,no
b10,Bengali,11,five,point,0,0,0,0,no
b10,Bengali,11,five,ho_gv,0,0,0,0,no
b10,Bengali,11,tp1,reach,0,0,0,0,no
